Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,MobilePhone,Fax,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CleanStatus,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c
00Q3j00001Od2CaEAJ,False,,Rogers,Jack,Mr.,Jack Rogers,"VP, Facilities",Burlington Textiles Corp of America,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,(336) 222-7000,,(336) 222-8000,jrogers@btca.com,,/services/images/photo/00Q3j00001Od2CaEAJ,,Web,Closed - Converted,Apparel,Warm,350000000.0,9000,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,7267,GC5000 series,Yes,John Deere,3.0
00Q3j00001Od2CKEAZ,False,,Cotton,Phyllis,Ms,Phyllis Cotton,CFO,Abbott Insurance,,,VA,,USA,,,,(703) 757-1000,,,pcotton@abbottins.net,,/services/images/photo/00Q3j00001Od2CKEAZ,,Web,Open - Not Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CTEAZ,False,,Owenby,Pamela,Ms,Pamela Owenby,"SVP, Technology",Hendrickson Trading,,,PA,,USA,,,,(570) 326-1571,,,pam_owenby@hendricksontrading.com,,/services/images/photo/00Q3j00001Od2CTEAZ,,Partner Referral,Closed - Not Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,7267,GC5000 series,Yes,John Deere,3.0
00Q3j00001Od2CSEAZ,False,,Brownell,Shelly,Ms,Shelly Brownell,"SVP, Technology",Western Telecommunications Corp.,,,CA,,USA,,,,(408) 326-9000,,,shellyb@westerntelecom.com,,/services/images/photo/00Q3j00001Od2CSEAZ,,Partner Referral,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CZEAZ,False,,Crenshaw,Carolyn,Ms,Carolyn Crenshaw,"VP, Technology",Ace Iron and Steel Inc.,,,AL,,USA,,,,(251) 679-2200,,,carolync@aceis.com,,/services/images/photo/00Q3j00001Od2CZEAZ,,Phone Inquiry,Closed - Not Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CPEAZ,False,,Maccleod,Violet,Ms,Violet Maccleod,"VP, Finance",Emerson Transport,,,GA,,USA,,,,(770) 395-2370,,,violetm@emersontransport.com,,/services/images/photo/00Q3j00001Od2CPEAZ,,Phone Inquiry,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CVEAZ,False,,Stumuller,Pat,Ms,Pat Stumuller,"SVP, Administration and Finance",Pyramid Construction Inc.,,,,,France,,,,33562156600,,,pat@pyramid.net,,/services/images/photo/00Q3j00001Od2CVEAZ,,Phone Inquiry,Closed - Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CWEAZ,False,,Young,Andy,Mr,Andy Young,"SVP, Operations",Dickenson plc,,,KS,,USA,,,,(620) 241-6200,,,a_young@dickenson.com,,/services/images/photo/00Q3j00001Od2CWEAZ,,Purchased List,Closed - Converted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CMEAZ,False,,Braund,Mike,Mr,Mike Braund,"VP, Technology",Metropolitan Health Services,,,MD,,USA,,,,(410) 381-2334,,,likeb@metro.com,,/services/images/photo/00Q3j00001Od2CMEAZ,,Purchased List,Open - Not Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
00Q3j00001Od2CQEAZ,False,,Snyder,Kathy,Ms,Kathy Snyder,Regional General Manager,TNR Corp.,,,CT,,USA,,,,(860) 273-0123,,,ksynder@tnr.net,,/services/images/photo/00Q3j00001Od2CQEAZ,,Purchased List,Working - Contacted,,,,,0053j00000Ae0I4AAJ,False,,,,,True,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T16:06:42.000000Z,0053j00000Ae0I4AAJ,2019-10-06T17:37:47.000000Z,,,,,,Pending,,,,,2768,GC5000 series,Yes,All,130.0
